"id","region","provincia","comuna","cut","variable","valor","ano","fuente
"1","Los Lagos","Llanquihue","Puerto Montt","10101",""N° de niños"," niñas y adolescentes (menores de 18 años)"","61542","2021","ADIS"
"2","Los Lagos","Llanquihue","Calbuco","10102",""N° de niños"," niñas y adolescentes (menores de 18 años)"","8532","2021","ADIS"
"3","Los Lagos","Llanquihue","Cochamó","10103",""N° de niños"," niñas y adolescentes (menores de 18 años)"","863","2021","ADIS"
"4","Los Lagos","Llanquihue","Fresia","10104",""N° de niños"," niñas y adolescentes (menores de 18 años)"","2619","2021","ADIS"
"5","Los Lagos","Llanquihue","Frutillar","10105",""N° de niños"," niñas y adolescentes (menores de 18 años)"","4948","2021","ADIS"
"6","Los Lagos","Llanquihue","Los Muermos","10106",""N° de niños"," niñas y adolescentes (menores de 18 años)"","3917","2021","ADIS"
"7","Los Lagos","Llanquihue","Llanquihue","10107",""N° de niños"," niñas y adolescentes (menores de 18 años)"","4118","2021","ADIS"
"8","Los Lagos","Llanquihue","Maullín","10108",""N° de niños"," niñas y adolescentes (menores de 18 años)"","3151","2021","ADIS"
"9","Los Lagos","Llanquihue","Puerto Varas","10109",""N° de niños"," niñas y adolescentes (menores de 18 años)"","10336","2021","ADIS"
"10","Los Lagos","Chiloé","Castro","10201",""N° de niños"," niñas y adolescentes (menores de 18 años)"","10971","2021","ADIS"
"11","Los Lagos","Chiloé","Ancud","10202",""N° de niños"," niñas y adolescentes (menores de 18 años)"","9360","2021","ADIS"
"12","Los Lagos","Chiloé","Chonchi","10203",""N° de niños"," niñas y adolescentes (menores de 18 años)"","3420","2021","ADIS"
"13","Los Lagos","Chiloé","Curaco de Vélez","10204",""N° de niños"," niñas y adolescentes (menores de 18 años)"","820","2021","ADIS"
"14","Los Lagos","Chiloé","Dalcahue","10205",""N° de niños"," niñas y adolescentes (menores de 18 años)"","3704","2021","ADIS"
"15","Los Lagos","Chiloé","Puqueldón","10206",""N° de niños"," niñas y adolescentes (menores de 18 años)"","801","2021","ADIS"
"16","Los Lagos","Chiloé","Queilén","10207",""N° de niños"," niñas y adolescentes (menores de 18 años)"","1259","2021","ADIS"
"17","Los Lagos","Chiloé","Quellón","10208",""N° de niños"," niñas y adolescentes (menores de 18 años)"","7381","2021","ADIS"
"18","Los Lagos","Chiloé","Quemchi","10209",""N° de niños"," niñas y adolescentes (menores de 18 años)"","1843","2021","ADIS"
"19","Los Lagos","Chiloé","Quinchao","10210",""N° de niños"," niñas y adolescentes (menores de 18 años)"","1636","2021","ADIS"
"20","Los Lagos","Osorno","Osorno","10301",""N° de niños"," niñas y adolescentes (menores de 18 años)"","35363","2021","ADIS"
"21","Los Lagos","Osorno","Puerto Octay","10302",""N° de niños"," niñas y adolescentes (menores de 18 años)"","2069","2021","ADIS"
"22","Los Lagos","Osorno","Purranque","10303",""N° de niños"," niñas y adolescentes (menores de 18 años)"","4545","2021","ADIS"
"23","Los Lagos","Osorno","Puyehue","10304",""N° de niños"," niñas y adolescentes (menores de 18 años)"","2440","2021","ADIS"
"24","Los Lagos","Osorno","Río Negro","10305",""N° de niños"," niñas y adolescentes (menores de 18 años)"","3273","2021","ADIS"
"25","Los Lagos","Osorno","San Juan de la Costa","10306",""N° de niños"," niñas y adolescentes (menores de 18 años)"","1723","2021","ADIS"
"26","Los Lagos","Osorno","San Pablo","10307",""N° de niños"," niñas y adolescentes (menores de 18 años)"","2383","2021","ADIS"
"27","Los Lagos","Palena","Chaitén","10401",""N° de niños"," niñas y adolescentes (menores de 18 años)"","974","2021","ADIS"
"28","Los Lagos","Palena","Futaleufú","10402",""N° de niños"," niñas y adolescentes (menores de 18 años)"","655","2021","ADIS"
"29","Los Lagos","Palena","Hualaihué","10403",""N° de niños"," niñas y adolescentes (menores de 18 años)"","2435","2021","ADIS"
"30","Los Lagos","Palena","Palena","10404",""N° de niños"," niñas y adolescentes (menores de 18 años)"","348","2021","ADIS"
"31","Los Lagos","Llanquihue","Puerto Montt","10101","N° de personas pertenecientes a pueblos originarios","44006","2021","ADIS"
"32","Los Lagos","Llanquihue","Calbuco","10102","N° de personas pertenecientes a pueblos originarios","11410","2021","ADIS"
"33","Los Lagos","Llanquihue","Cochamó","10103","N° de personas pertenecientes a pueblos originarios","447","2021","ADIS"
"34","Los Lagos","Llanquihue","Fresia","10104","N° de personas pertenecientes a pueblos originarios","3712","2021","ADIS"
"35","Los Lagos","Llanquihue","Frutillar","10105","N° de personas pertenecientes a pueblos originarios","3918","2021","ADIS"
"36","Los Lagos","Llanquihue","Los Muermos","10106","N° de personas pertenecientes a pueblos originarios","2293","2021","ADIS"
"37","Los Lagos","Llanquihue","Llanquihue","10107","N° de personas pertenecientes a pueblos originarios","4784","2021","ADIS"
"38","Los Lagos","Llanquihue","Maullín","10108","N° de personas pertenecientes a pueblos originarios","2271","2021","ADIS"
"39","Los Lagos","Llanquihue","Puerto Varas","10109","N° de personas pertenecientes a pueblos originarios","6628","2021","ADIS"
"40","Los Lagos","Chiloé","Castro","10201","N° de personas pertenecientes a pueblos originarios","13082","2021","ADIS"
"41","Los Lagos","Chiloé","Ancud","10202","N° de personas pertenecientes a pueblos originarios","14152","2021","ADIS"
"42","Los Lagos","Chiloé","Chonchi","10203","N° de personas pertenecientes a pueblos originarios","6251","2021","ADIS"
"43","Los Lagos","Chiloé","Curaco de Vélez","10204","N° de personas pertenecientes a pueblos originarios","894","2021","ADIS"
"44","Los Lagos","Chiloé","Dalcahue","10205","N° de personas pertenecientes a pueblos originarios","3937","2021","ADIS"
"45","Los Lagos","Chiloé","Puqueldón","10206","N° de personas pertenecientes a pueblos originarios","1261","2021","ADIS"
"46","Los Lagos","Chiloé","Queilén","10207","N° de personas pertenecientes a pueblos originarios","3321","2021","ADIS"
"47","Los Lagos","Chiloé","Quellón","10208","N° de personas pertenecientes a pueblos originarios","12565","2021","ADIS"
"48","Los Lagos","Chiloé","Quemchi","10209","N° de personas pertenecientes a pueblos originarios","2558","2021","ADIS"
"49","Los Lagos","Chiloé","Quinchao","10210","N° de personas pertenecientes a pueblos originarios","4329","2021","ADIS"
"50","Los Lagos","Osorno","Osorno","10301","N° de personas pertenecientes a pueblos originarios","45195","2021","ADIS"
"51","Los Lagos","Osorno","Puerto Octay","10302","N° de personas pertenecientes a pueblos originarios","2948","2021","ADIS"
"52","Los Lagos","Osorno","Purranque","10303","N° de personas pertenecientes a pueblos originarios","5987","2021","ADIS"
"53","Los Lagos","Osorno","Puyehue","10304","N° de personas pertenecientes a pueblos originarios","2804","2021","ADIS"
"54","Los Lagos","Osorno","Río Negro","10305","N° de personas pertenecientes a pueblos originarios","6919","2021","ADIS"
"55","Los Lagos","Osorno","San Juan de la Costa","10306","N° de personas pertenecientes a pueblos originarios","7161","2021","ADIS"
"56","Los Lagos","Osorno","San Pablo","10307","N° de personas pertenecientes a pueblos originarios","3334","2021","ADIS"
"57","Los Lagos","Palena","Chaitén","10401","N° de personas pertenecientes a pueblos originarios","982","2021","ADIS"
"58","Los Lagos","Palena","Futaleufú","10402","N° de personas pertenecientes a pueblos originarios","359","2021","ADIS"
"59","Los Lagos","Palena","Hualaihué","10403","N° de personas pertenecientes a pueblos originarios","2672","2021","ADIS"
"60","Los Lagos","Palena","Palena","10404","N° de personas pertenecientes a pueblos originarios","231","2021","ADIS"
"61","Los Lagos","Llanquihue","Puerto Montt","10101","N° de personas extranjeras","9254","2021","ADIS"
"62","Los Lagos","Llanquihue","Calbuco","10102","N° de personas extranjeras","307","2021","ADIS"
"63","Los Lagos","Llanquihue","Cochamó","10103","N° de personas extranjeras","46","2021","ADIS"
"64","Los Lagos","Llanquihue","Fresia","10104","N° de personas extranjeras","58","2021","ADIS"
"65","Los Lagos","Llanquihue","Frutillar","10105","N° de personas extranjeras","238","2021","ADIS"
"66","Los Lagos","Llanquihue","Los Muermos","10106","N° de personas extranjeras","172","2021","ADIS"
"67","Los Lagos","Llanquihue","Llanquihue","10107","N° de personas extranjeras","204","2021","ADIS"
"68","Los Lagos","Llanquihue","Maullín","10108","N° de personas extranjeras","51","2021","ADIS"
"69","Los Lagos","Llanquihue","Puerto Varas","10109","N° de personas extranjeras","1420","2021","ADIS"
"70","Los Lagos","Chiloé","Castro","10201","N° de personas extranjeras","1359","2021","ADIS"
"71","Los Lagos","Chiloé","Ancud","10202","N° de personas extranjeras","622","2021","ADIS"
"72","Los Lagos","Chiloé","Chonchi","10203","N° de personas extranjeras","145","2021","ADIS"
"73","Los Lagos","Chiloé","Curaco de Vélez","10204","N° de personas extranjeras","21","2021","ADIS"
"74","Los Lagos","Chiloé","Dalcahue","10205","N° de personas extranjeras","136","2021","ADIS"
"75","Los Lagos","Chiloé","Puqueldón","10206","N° de personas extranjeras","10","2021","ADIS"
"76","Los Lagos","Chiloé","Queilén","10207","N° de personas extranjeras","25","2021","ADIS"
"77","Los Lagos","Chiloé","Quellón","10208","N° de personas extranjeras","910","2021","ADIS"
"78","Los Lagos","Chiloé","Quemchi","10209","N° de personas extranjeras","34","2021","ADIS"
"79","Los Lagos","Chiloé","Quinchao","10210","N° de personas extranjeras","43","2021","ADIS"
"80","Los Lagos","Osorno","Osorno","10301","N° de personas extranjeras","2068","2021","ADIS"
"81","Los Lagos","Osorno","Puerto Octay","10302","N° de personas extranjeras","71","2021","ADIS"
"82","Los Lagos","Osorno","Purranque","10303","N° de personas extranjeras","81","2021","ADIS"
"83","Los Lagos","Osorno","Puyehue","10304","N° de personas extranjeras","89","2021","ADIS"
"84","Los Lagos","Osorno","Río Negro","10305","N° de personas extranjeras","54","2021","ADIS"
"85","Los Lagos","Osorno","San Juan de la Costa","10306","N° de personas extranjeras","31","2021","ADIS"
"86","Los Lagos","Osorno","San Pablo","10307","N° de personas extranjeras","63","2021","ADIS"
"87","Los Lagos","Palena","Chaitén","10401","N° de personas extranjeras","48","2021","ADIS"
"88","Los Lagos","Palena","Futaleufú","10402","N° de personas extranjeras","77","2021","ADIS"
"89","Los Lagos","Palena","Hualaihué","10403","N° de personas extranjeras","116","2021","ADIS"
"90","Los Lagos","Palena","Palena","10404","N° de personas extranjeras","43","2021","ADIS"
"91","Los Lagos","Llanquihue","Puerto Montt","10101","N° de personas con dependencia moderada o severa","2579","2021","ADIS"
"92","Los Lagos","Llanquihue","Calbuco","10102","N° de personas con dependencia moderada o severa","286","2021","ADIS"
"93","Los Lagos","Llanquihue","Cochamó","10103","N° de personas con dependencia moderada o severa","20","2021","ADIS"
"94","Los Lagos","Llanquihue","Fresia","10104","N° de personas con dependencia moderada o severa","102","2021","ADIS"
"95","Los Lagos","Llanquihue","Frutillar","10105","N° de personas con dependencia moderada o severa","129","2021","ADIS"
"96","Los Lagos","Llanquihue","Los Muermos","10106","N° de personas con dependencia moderada o severa","125","2021","ADIS"
"97","Los Lagos","Llanquihue","Llanquihue","10107","N° de personas con dependencia moderada o severa","195","2021","ADIS"
"98","Los Lagos","Llanquihue","Maullín","10108","N° de personas con dependencia moderada o severa","100","2021","ADIS"
"99","Los Lagos","Llanquihue","Puerto Varas","10109","N° de personas con dependencia moderada o severa","292","2021","ADIS"
"100","Los Lagos","Chiloé","Castro","10201","N° de personas con dependencia moderada o severa","437","2021","ADIS"
"101","Los Lagos","Chiloé","Ancud","10202","N° de personas con dependencia moderada o severa","334","2021","ADIS"
"102","Los Lagos","Chiloé","Chonchi","10203","N° de personas con dependencia moderada o severa","98","2021","ADIS"
"103","Los Lagos","Chiloé","Curaco de Vélez","10204","N° de personas con dependencia moderada o severa","37","2021","ADIS"
"104","Los Lagos","Chiloé","Dalcahue","10205","N° de personas con dependencia moderada o severa","111","2021","ADIS"
"105","Los Lagos","Chiloé","Puqueldón","10206","N° de personas con dependencia moderada o severa","22","2021","ADIS"
"106","Los Lagos","Chiloé","Queilén","10207","N° de personas con dependencia moderada o severa","47","2021","ADIS"
"107","Los Lagos","Chiloé","Quellón","10208","N° de personas con dependencia moderada o severa","188","2021","ADIS"
"108","Los Lagos","Chiloé","Quemchi","10209","N° de personas con dependencia moderada o severa","65","2021","ADIS"
"109","Los Lagos","Chiloé","Quinchao","10210","N° de personas con dependencia moderada o severa","65","2021","ADIS"
"110","Los Lagos","Osorno","Osorno","10301","N° de personas con dependencia moderada o severa","1653","2021","ADIS"
"111","Los Lagos","Osorno","Puerto Octay","10302","N° de personas con dependencia moderada o severa","76","2021","ADIS"
"112","Los Lagos","Osorno","Purranque","10303","N° de personas con dependencia moderada o severa","272","2021","ADIS"
"113","Los Lagos","Osorno","Puyehue","10304","N° de personas con dependencia moderada o severa","77","2021","ADIS"
"114","Los Lagos","Osorno","Río Negro","10305","N° de personas con dependencia moderada o severa","187","2021","ADIS"
"115","Los Lagos","Osorno","San Juan de la Costa","10306","N° de personas con dependencia moderada o severa","78","2021","ADIS"
"116","Los Lagos","Osorno","San Pablo","10307","N° de personas con dependencia moderada o severa","100","2021","ADIS"
"117","Los Lagos","Palena","Chaitén","10401","N° de personas con dependencia moderada o severa","37","2021","ADIS"
"118","Los Lagos","Palena","Futaleufú","10402","N° de personas con dependencia moderada o severa","15","2021","ADIS"
"119","Los Lagos","Palena","Hualaihué","10403","N° de personas con dependencia moderada o severa","95","2021","ADIS"
"120","Los Lagos","Palena","Palena","10404","N° de personas con dependencia moderada o severa","Entre 1 y 9","2021","ADIS"
"121","Los Lagos","Llanquihue","Puerto Montt","10101","N° total de personas","251143","2021","ADIS"
"122","Los Lagos","Llanquihue","Calbuco","10102","N° total de personas","36942","2021","ADIS"
"123","Los Lagos","Llanquihue","Cochamó","10103","N° total de personas","4561","2021","ADIS"
"124","Los Lagos","Llanquihue","Fresia","10104","N° total de personas","12544","2021","ADIS"
"125","Los Lagos","Llanquihue","Frutillar","10105","N° total de personas","21191","2021","ADIS"
"126","Los Lagos","Llanquihue","Los Muermos","10106","N° total de personas","18202","2021","ADIS"
"127","Los Lagos","Llanquihue","Llanquihue","10107","N° total de personas","18503","2021","ADIS"
"128","Los Lagos","Llanquihue","Maullín","10108","N° total de personas","16013","2021","ADIS"
"129","Los Lagos","Llanquihue","Puerto Varas","10109","N° total de personas","43698","2021","ADIS"
"130","Los Lagos","Chiloé","Castro","10201","N° total de personas","49393","2021","ADIS"
"131","Los Lagos","Chiloé","Ancud","10202","N° total de personas","44049","2021","ADIS"
"132","Los Lagos","Chiloé","Chonchi","10203","N° total de personas","15940","2021","ADIS"
"133","Los Lagos","Chiloé","Curaco de Vélez","10204","N° total de personas","3941","2021","ADIS"
"134","Los Lagos","Chiloé","Dalcahue","10205","N° total de personas","16107","2021","ADIS"
"135","Los Lagos","Chiloé","Puqueldón","10206","N° total de personas","4065","2021","ADIS"
"136","Los Lagos","Chiloé","Queilén","10207","N° total de personas","5923","2021","ADIS"
"137","Los Lagos","Chiloé","Quellón","10208","N° total de personas","29639","2021","ADIS"
"138","Los Lagos","Chiloé","Quemchi","10209","N° total de personas","9088","2021","ADIS"
"139","Los Lagos","Chiloé","Quinchao","10210","N° total de personas","8105","2021","ADIS"
"140","Los Lagos","Osorno","Osorno","10301","N° total de personas","157684","2021","ADIS"
"141","Los Lagos","Osorno","Puerto Octay","10302","N° total de personas","9337","2021","ADIS"
"142","Los Lagos","Osorno","Purranque","10303","N° total de personas","20987","2021","ADIS"
"143","Los Lagos","Osorno","Puyehue","10304","N° total de personas","11617","2021","ADIS"
"144","Los Lagos","Osorno","Río Negro","10305","N° total de personas","15191","2021","ADIS"
"145","Los Lagos","Osorno","San Juan de la Costa","10306","N° total de personas","9228","2021","ADIS"
"146","Los Lagos","Osorno","San Pablo","10307","N° total de personas","11407","2021","ADIS"
"147","Los Lagos","Palena","Chaitén","10401","N° total de personas","4631","2021","ADIS"
"148","Los Lagos","Palena","Futaleufú","10402","N° total de personas","2939","2021","ADIS"
"149","Los Lagos","Palena","Hualaihué","10403","N° total de personas","10623","2021","ADIS"
"150","Los Lagos","Palena","Palena","10404","N° total de personas","1818","2021","ADIS"
"151","Los Lagos","Llanquihue","Puerto Montt","10101","N° de personas mayores (60 años o más)","35779","2021","ADIS"
"152","Los Lagos","Llanquihue","Calbuco","10102","N° de personas mayores (60 años o más)","7192","2021","ADIS"
"153","Los Lagos","Llanquihue","Cochamó","10103","N° de personas mayores (60 años o más)","1124","2021","ADIS"
"154","Los Lagos","Llanquihue","Fresia","10104","N° de personas mayores (60 años o más)","2892","2021","ADIS"
"155","Los Lagos","Llanquihue","Frutillar","10105","N° de personas mayores (60 años o más)","3777","2021","ADIS"
"156","Los Lagos","Llanquihue","Los Muermos","10106","N° de personas mayores (60 años o más)","4044","2021","ADIS"
"157","Los Lagos","Llanquihue","Llanquihue","10107","N° de personas mayores (60 años o más)","3423","2021","ADIS"
"158","Los Lagos","Llanquihue","Maullín","10108","N° de personas mayores (60 años o más)","3834","2021","ADIS"
"159","Los Lagos","Llanquihue","Puerto Varas","10109","N° de personas mayores (60 años o más)","7101","2021","ADIS"
"160","Los Lagos","Chiloé","Castro","10201","N° de personas mayores (60 años o más)","7860","2021","ADIS"
"161","Los Lagos","Chiloé","Ancud","10202","N° de personas mayores (60 años o más)","8785","2021","ADIS"
"162","Los Lagos","Chiloé","Chonchi","10203","N° de personas mayores (60 años o más)","2798","2021","ADIS"
"163","Los Lagos","Chiloé","Curaco de Vélez","10204","N° de personas mayores (60 años o más)","860","2021","ADIS"
"164","Los Lagos","Chiloé","Dalcahue","10205","N° de personas mayores (60 años o más)","2588","2021","ADIS"
"165","Los Lagos","Chiloé","Puqueldón","10206","N° de personas mayores (60 años o más)","967","2021","ADIS"
"166","Los Lagos","Chiloé","Queilén","10207","N° de personas mayores (60 años o más)","1167","2021","ADIS"
"167","Los Lagos","Chiloé","Quellón","10208","N° de personas mayores (60 años o más)","3780","2021","ADIS"
"168","Los Lagos","Chiloé","Quemchi","10209","N° de personas mayores (60 años o más)","2073","2021","ADIS"
"169","Los Lagos","Chiloé","Quinchao","10210","N° de personas mayores (60 años o más)","1745","2021","ADIS"
"170","Los Lagos","Osorno","Osorno","10301","N° de personas mayores (60 años o más)","29612","2021","ADIS"
"171","Los Lagos","Osorno","Puerto Octay","10302","N° de personas mayores (60 años o más)","1899","2021","ADIS"
"172","Los Lagos","Osorno","Purranque","10303","N° de personas mayores (60 años o más)","4685","2021","ADIS"
"173","Los Lagos","Osorno","Puyehue","10304","N° de personas mayores (60 años o más)","2519","2021","ADIS"
"174","Los Lagos","Osorno","Río Negro","10305","N° de personas mayores (60 años o más)","3468","2021","ADIS"
"175","Los Lagos","Osorno","San Juan de la Costa","10306","N° de personas mayores (60 años o más)","2305","2021","ADIS"
"176","Los Lagos","Osorno","San Pablo","10307","N° de personas mayores (60 años o más)","2673","2021","ADIS"
"177","Los Lagos","Palena","Chaitén","10401","N° de personas mayores (60 años o más)","916","2021","ADIS"
"178","Los Lagos","Palena","Futaleufú","10402","N° de personas mayores (60 años o más)","525","2021","ADIS"
"179","Los Lagos","Palena","Hualaihué","10403","N° de personas mayores (60 años o más)","1842","2021","ADIS"
"180","Los Lagos","Palena","Palena","10404","N° de personas mayores (60 años o más)","408","2021","ADIS"